"","lizard_id","Treatment","slope_mean","slope_sd","slope_se"
"1",2851,"CORT-Cold (n=20)",0.00617244838259892,0.0113806344579946,7.34616795418125e-05
"2",2873,"Control-Cold (n=20)",-0.0206632988822481,0.0114661767036183,7.40138523629754e-05
"3",2885,"CORT-Cold (n=20)",-0.0118024792339361,0.0109074326605351,7.04071750735522e-05
"4",2904,"Control-Cold (n=20)",-0.0139637871247448,0.011527786969711,7.44115449205292e-05
"5",2908,"Control-Cold (n=20)",0.0127531658115967,0.0104607356699297,6.75237583978596e-05
"6",2911,"CORT-Cold (n=20)",-0.0223633229233527,0.0117100845810173,7.55882709416004e-05
"7",2919,"CORT-Cold (n=20)",-0.0127479168672944,0.0113386775742249,7.31908490216476e-05
"8",2922,"Control-Cold (n=20)",0.00899000216810295,0.0102100291209195,6.590545458269e-05
"9",2924,"CORT-Cold (n=20)",-0.0249157285381463,0.0124336866568205,8.02591022563783e-05
"10",2925,"CORT-Hot (n=19)",-0.0184178247312585,0.0125311134327143,8.08879893905639e-05
"11",2926,"Control-Cold (n=20)",-0.00645863402599945,0.00996578661773294,6.4328876003894e-05
"12",2928,"Control-Cold (n=20)",0.00210446996624015,0.0121787297089337,7.86133622344365e-05
"13",2930,"CORT-Cold (n=20)",-0.0329620457522139,0.0127210501676186,8.21140257424264e-05
"14",2931,"CORT-Hot (n=19)",-0.0280082435897019,0.0116685726365762,7.53203124924523e-05
"15",2950,"CORT-Hot (n=19)",-0.0130265162328631,0.0123182833676234,7.95141772277821e-05
"16",2951,"CORT-Hot (n=19)",-0.0111223903286439,0.0115009499367509,7.42383126176694e-05
"17",2952,"Control-Cold (n=20)",-0.0280149150397838,0.0120295473836475,7.76503944654665e-05
"18",2953,"CORT-Cold (n=20)",-0.024358089963742,0.0122113172417194,7.88237138540582e-05
"19",2958,"CORT-Cold (n=20)",-0.0029291008733143,0.011442296167502,7.38597041651805e-05
"20",2959,"Control-Cold (n=20)",-0.00631530322806041,0.0117939245336917,7.61294555090253e-05
"21",2960,"CORT-Cold (n=20)",-0.0279879165172223,0.0128966977518867,8.32478260235463e-05
"22",2961,"CORT-Hot (n=19)",-0.00488428453008292,0.0103845557501561,6.70320191301948e-05
"23",2967,"CORT-Cold (n=20)",-0.016094154553642,0.0119072712866644,7.68611056533753e-05
"24",2968,"Control-Cold (n=20)",0.00535292005383106,0.0109658030591789,7.07839543766505e-05
"25",2970,"CORT-Hot (n=19)",-0.00608542059330643,0.0110649099107022,7.14236863523919e-05
"26",2971,"Control-Cold (n=20)",0.00246323622582545,0.0106445787937375,6.87104606592299e-05
"27",2981,"CORT-Cold (n=20)",-0.00493027612915497,0.0119736949307454,7.72898684322421e-05
"28",2982,"Control-Hot (n=20)",-0.0129271082078274,0.0122337054547381,7.8968229147679e-05
"29",2983,"Control-Cold (n=20)",0.00521516748001947,0.0106417599393485,6.86922650323901e-05
"30",2984,"Control-Hot (n=20)",-0.0146982383811756,0.0114866828749976,7.41462191300526e-05
"31",2993,"CORT-Hot (n=19)",-0.0109518056139243,0.0120470916628558,7.77636423007913e-05
"32",2995,"CORT-Cold (n=20)",-0.0018605409890785,0.0108889363600537,7.02877819673341e-05
"33",2997,"Control-Hot (n=20)",-0.0130731497432249,0.0123977007284002,8.00268140872628e-05
"34",3009,"Control-Cold (n=20)",-0.0297248529915974,0.012300592549955,7.93999834907648e-05
"35",3014,"Control-Hot (n=20)",0.01616889820182,0.0109529509335995,7.0700994262763e-05
"36",3023,"CORT-Hot (n=19)",-0.011255390010512,0.0113874315338304,7.35055544776705e-05
"37",3024,"Control-Hot (n=20)",-0.0224978239906255,0.0111108945526902,7.17205159400598e-05
"38",3025,"Control-Cold (n=20)",-0.00718985426488533,0.0111184152445356,7.17690617971748e-05
"39",3029,"Control-Hot (n=20)",-0.02214109146387,0.0133656918772903,8.62751700854753e-05
"40",3031,"Control-Cold (n=20)",-0.0178038966916814,0.0115236878293759,7.43850850834435e-05
"41",3033,"Control-Hot (n=20)",-0.012365864178895,0.0119318186328005,7.70195580913396e-05
"42",3034,"CORT-Cold (n=20)",-0.00415094258267825,0.0107163265117664,6.91735901876538e-05
"43",3038,"Control-Cold (n=20)",0.000481720113383424,0.0109482848498441,7.06708748216356e-05
"44",3039,"CORT-Cold (n=20)",-0.00875842570966932,0.0114248865979294,7.37473258768147e-05
"45",3040,"Control-Hot (n=20)",-0.00584177410611627,0.0118873575725176,7.67325631812889e-05
"46",3041,"CORT-Hot (n=19)",0.00602628119305937,0.0110743631996245,7.14847070699966e-05
"47",3042,"Control-Cold (n=20)",-0.0245034166633091,0.0133592462936516,8.62335640219929e-05
"48",3051,"CORT-Hot (n=19)",-0.015048004326976,0.0107976468506585,6.9698510718049e-05
"49",3065,"Control-Cold (n=20)",-0.0211337258219171,0.0125465967740946,8.09879339294133e-05
"50",3078,"Control-Cold (n=20)",-0.00905294095613758,0.0117066001307326,7.55657789117282e-05
"51",3079,"Control-Hot (n=20)",-0.00266852330712562,0.0121518292444286,7.84397204827135e-05
"52",3081,"CORT-Hot (n=19)",-0.00852714124819009,0.0114214959279933,7.37254391964895e-05
"53",3082,"Control-Hot (n=20)",-0.00798311893758154,0.0109028831096139,7.03778078486348e-05
"54",3086,"Control-Hot (n=20)",-0.0188023985691545,0.0121441417507204,7.83900979242037e-05
"55",3090,"Control-Hot (n=20)",-0.000878313212725309,0.0115051199573854,7.42652299851202e-05
"56",3093,"Control-Cold (n=20)",-0.00508970013912424,0.0110556519061115,7.13639261897267e-05
"57",3095,"Control-Cold (n=20)",-0.0070214516568553,0.0109292373231878,7.05479235657579e-05
"58",3098,"Control-Hot (n=20)",-0.0204716726580326,0.0115004966110342,7.42353864127503e-05
"59",3099,"CORT-Hot (n=19)",-0.00804093890599391,0.0123730676308945,7.98678081265873e-05
"60",3100,"CORT-Cold (n=20)",0.00294221931832093,0.0121350447894057,7.83313772914154e-05
"61",3102,"Control-Hot (n=20)",-0.0298844468508114,0.0122608395646437,7.91433790739764e-05
"62",3103,"CORT-Cold (n=20)",0.0188130048826381,0.0110563725484298,7.13685779158888e-05
"63",3109,"Control-Hot (n=20)",0.0184081257889295,0.0111707010317535,7.21065651024053e-05
"64",3154,"Control-Hot (n=20)",0.0120017613709324,0.0102741413587149,6.63192972981394e-05
"65",3155,"CORT-Cold (n=20)",-0.0162313962498255,0.0127904568141969,8.25620437196166e-05
"66",3157,"CORT-Hot (n=19)",-0.00758606201822784,0.0107651771686882,6.94889198221692e-05
"67",3158,"CORT-Cold (n=20)",-0.021612033789057,0.0123970008049311,8.00222961006969e-05
"68",3159,"Control-Hot (n=20)",0.00114963841211086,0.0113637870978208,7.3352930299511e-05
"69",3176,"CORT-Hot (n=19)",-0.00390002032408811,0.0112704807966447,7.2750640715259e-05
"70",3178,"Control-Hot (n=20)",-0.02370860940102,0.0124360730743957,8.02745065155883e-05
"71",3179,"CORT-Hot (n=19)",-0.0081571377701605,0.0110797577496446,7.15195287406434e-05
"72",3188,"CORT-Hot (n=19)",-0.0259154343008892,0.0115342126253378,7.44530223492476e-05
"73",3191,"CORT-Hot (n=19)",-0.0395789751963901,0.012816045122626,8.27272155402888e-05
"74",3193,"Control-Hot (n=20)",-0.0170744058569232,0.0121994969499018,7.87474141984632e-05
"75",3195,"CORT-Hot (n=19)",-0.0169124499394096,0.0116319907651732,7.50841775279239e-05
"76",3198,"CORT-Hot (n=19)",0.0112605804559098,0.0107080338431979,6.91200612422181e-05
"77",3200,"CORT-Cold (n=20)",-0.0193673510322733,0.0126700247452282,8.17846580571743e-05
"78",3201,"Control-Hot (n=20)",-0.00767062515732767,0.0110194905309764,7.11305055169364e-05
"79",3212,"CORT-Cold (n=20)",-0.010007112256638,0.0109066884076581,7.04023709418887e-05
